date,time,distance,avg-speed,snow
2017-08-10,00:51:22,4.050000190734863,4.699999809265137,-1.0
2017-08-07,01:00:41,5.510000228881836,5.400000095367432,-1.0
2017-08-06,01:05:16,5.389999866485597,5.0,0.0
2017-08-05,00:49:23,4.0,4.900000095367432,0.0
2017-08-03,00:59:14,4.360000133514403,4.400000095367432,-1.0
2017-07-29,00:57:37,4.179999828338623,4.400000095367432,-1.0
2017-07-27,01:06:15,5.820000171661378,5.300000190734863,0.0
2017-07-26,00:52:10,5.239999771118164,6.0,-1.0
2017-07-24,01:15:01,5.75,4.599999904632568,-1.0
2017-07-23,01:00:09,6.059999942779541,6.0,-1.0
2017-07-22,00:59:01,5.519999980926514,5.599999904632568,0.0
2017-07-19,00:54:00,4.579999923706055,5.099999904632568,-1.0
